№ п/п,"№
документа","Дата
регистрации","Исх. №
Дата",Адресат,Автор,"Краткое
содержание",Примечание
1,WSR/1-838/2019,09.04.2019,"208-409
08.04.2019",Уразов Р.Н.,Антонова С.В. (АО «Интерфакс»),"Вх - О возможности использования сетевого издания ""Информационный ресурс СПАРК"" в работе Союза",
2,WSR/1-837/2019,09.04.2019,"05-338
09.04.2019",Уразов Р.Н.,Картошкин С.А. (Министерство просвещения Российской Федерации),"Вх - Об участии в совещании по вопросу доработки ФЭО для предоставления субсидии на реализацию проекта ""Билет в будущее"", 9 апр 2019 г",
3,WSR/1-835/2019,09.04.2019,"И10-14/3137
09.04.2019",Уразов Р.Н.,Цивилев С.Е. (Администрация Кемеровской области),"Вх - О командировании Саликовой К. и Глушко Д. для участия в заседании оргкомитета по вопросу проведения ФНЧ в Кемеровской области, 22 апр 2019",
4,WSR/1-834/2019,09.04.2019,"Д2/7121-ИС
03.04.2019",Иванюк Л.А.,Волков Г.А. (Министерство транспорта Российской Федерации),Вх - Об участии в Чемпионате мира по профессиональному мастерству по стандартам «Ворлдскиллс» (WorldSkills Kazan 2019),
5,WSR/1-833/2019,09.04.2019,"15-20/06-911
08.04.2019",Уразов Р.Н.,Атанов И.В. (Ставропольский государственный аграрный университет),"Вх - Об участии в церемонии открытия Вузовского чемпионата, 15 апр 2019 в 14.00 (г. Ставрополь)",
6,WSR/1-831/2019,09.04.2019,"Исх01/0403
02.04.2019",Миронова С.В.,Островский А.В. (Губернатор Смоленской области),Вх - Об участии в Чемпионате мира по профессиональному мастерству по стандартам «Ворлдскиллс» (WorldSkills Kazan 2019),
7,WSR/1-830/2019,09.04.2019,"24-2/10/В-1940
14.03.2019",Уразов Р.Н.,Петрова С.В. (Министерство труда и социальной защиты РФ),"Вх - О направлении протокола ""О ходе реализации национального проекта ""Демография"" в субъектах России",
8,WSR/1.6-832/2019,09.04.2019,"08-04-21/1408
08.04.2019",Тымчиков А.Ю.,"Соппа И.В. (ФГБОУ ВО ""Московский политехнический университет"")",Вх - О согласовании дат проведения Вузовского чемпионата,
9,WSR/1-836/2019,09.04.2019,"3571/19
08.04.2019",Уразов Р.Н.,Бурганов Р.Т. (Министерство образования и науки Республики Татарстан),О Национальном чемпионате 2019,
10,WSR/1-829/2019,08.04.2019,"05-337
08.04.2019",Уразов Р.Н.,Черноскутова И.А. (Министерство просвещения Российской Федерации),Вх - О проведении заседания министров образования государств-участников Международной программмы укрепления систем СПО в рамках деловой программы Мирового чемпионата,
11,WSR/1.4-828/2019,08.04.2019,"140-р
08.04.2019",Крайчинская С.Б.,"Ажгиревич А.И. (ОООР ""Союз Машиностроителей России"")","Вх - Об участии в заочном заседании Совета по профквалификациям в машиностроение, 8 апр 2019","Повестка заседания, а также материалы к нему, расположены по ссылке:
 https://yadi.sk/d/ZSQAeaUP9dw-rA"
12,WSR/1-827/2019,08.04.2019,"380/63
05.04.2019",Антонов Ю.В.,"Мишин Д.В. (ФГОБУ ВО ""Поволжский государственный университет телекоммуникаций и информатики"")",Вх -Об участии в МЧ Казань,
13,WSR/1-826/2019,08.04.2019,"40/1
08.04.2019",Уразов Р.Н.,Цуров М.Т. (ГБПОУ Северо-Кавказский топливно-энергетический коолледж им. Т.Х. Цурова),"Вх - Об отказе рт участия в ОС по компетенции ""Туризм""",
14,WSR/1-825/2019,08.04.2019,"596
05.04.2019
596
05.04.2019",Уразов Р.Н.,"Кудряшов С.В. (АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж"" (МКЦ-ЧЭМК Минобразования Чувашии))
Судленков А.А. (АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж"" (МКЦ-ЧЭМК Минобразования Чувашии))","Вх - Об участии в заочном заседании наблюдательного совета МЦК-ЧЭМК Минобразования Чувашии по вопросу реорганизации учреждения, 11 апр 2019",
15,WSR/1.6-824/2019,08.04.2019,"619-45-03
02.04.2019",Тымчиков А.Ю.,"Сагитов С. Т. (ФГБОУ ВО ""Башкирский государственный педагогический университет им.М.Акмуллы"")",Вх - О согласовании дат проведения вузовского чемпионата,
16,WSR/1-823/2019,08.04.2019,"801-17/638
29.03.2019",Глушко Д.Е.,Бойченко С.А. (Департамент образования ЯНАО),"Вх - Об участии в проекте ""Билет в будущее"" в 2019 г.",
17,WSR/1.5-822/2019,08.04.2019,"01-18/2827
27.03.2019",Глушко Д.Е.,"Храпова Л.А. (Департамент образования, культуры и спорта Ненецкого автономного округа (ДОКиС НАО))","Вх - Об участии в проекте ""Билет в будущее"" в 2019 г.",
